# Created by Octave 3.2.4, Tue Apr 17 20:45:19 2012 CEST <mu@Martin-HP>
# Masse Radius Fallhöhe Fallzeit Umläufe Umlaufszeit
# name: data
# type: matrix
# rows: 24
# columns: 6
 25		10		100		9		10		4
 25		10		100		5		9		2
 25		10		100		7		2		6
 25		10		25		4		5		3
 25		10		50		7		7		10
 25		10		75		4		2		1
 25		2.5		100		10		7		3
 25		2.5		100		6		7		7
 25		2.5		100		8		2		4
 25		2.5		25		5		4		10
 25		2.5		50		9		3		4
 25		2.5		75		4		6		6
 50		10		100		3		2		3
 50		10		100		6		8		5
 50		10		100		7		4		2
 50		10		25		9		8		8
 50		10		50		8		6		7
 50		10		75		5		6		2
 50		2.5		100		5		9		10
 50		2.5		100		3		5		2
 50		2.5		100		5		9		5
 50		2.5		25		6		4		6
 50		2.5		50		8		5		10
 50		2.5		75		4		10		1
